,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
291,banda aceh,5.56,95.32,80.8,80,91,5.95,ID,1593809976
292,cairns,-16.92,145.77,69.8,77,18,12.75,AU,1593809930
293,san quintin,30.48,-115.95,74.86,57,1,15.52,MX,1593809977
294,asgabat,37.95,58.38,73.4,25,0,4.7,TM,1593809977
295,bogalusa,30.79,-89.85,86.0,74,1,5.82,US,1593809977
296,glenwood springs,39.55,-107.32,79.0,23,90,4.7,US,1593809682
297,sobolevo,54.43,31.9,63.86,97,100,6.31,RU,1593809977
298,the valley,18.22,-63.06,87.8,66,20,14.99,AI,1593809978
299,katherine,-14.47,132.27,69.8,73,40,8.05,AU,1593809978
300,schwedt,53.06,14.28,64.0,63,95,4.05,DE,1593809978
301,vila velha,-20.33,-40.29,71.6,83,75,8.05,BR,1593809978
302,buraydah,26.33,43.98,93.2,24,0,3.36,SA,1593809770
303,chimichagua,9.26,-73.81,88.2,69,94,4.18,CO,1593809978
304,san patricio,19.22,-104.7,87.8,70,20,17.22,MX,1593809979
305,kahului,20.89,-156.47,82.4,65,40,13.87,US,1593809979
306,svetlogorsk,52.63,29.73,64.38,97,100,6.31,BY,1593809979
307,adrar,20.5,-10.07,99.81,8,0,3.65,MR,1593809979
308,port elizabeth,-33.92,25.57,50.0,93,0,4.7,ZA,1593809979
309,walvis bay,-22.96,14.51,71.6,26,0,12.75,NA,1593809980
310,san antero,9.37,-75.76,83.28,80,54,8.19,CO,1593809980
311,toora-khem,52.47,96.11,55.67,92,99,0.49,RU,1593809980
312,narsaq,60.92,-46.05,66.2,24,0,4.7,GL,1593809980
313,shingu,33.73,135.98,74.03,95,100,15.61,JP,1593809980
314,berekum,7.45,-2.58,73.04,94,79,6.85,GH,1593809981
315,aitape,-3.14,142.35,76.57,81,1,5.21,PG,1593809981
316,barra mansa,-22.54,-44.17,69.8,68,75,8.05,BR,1593809981
317,chokurdakh,70.63,147.92,40.64,81,100,17.54,RU,1593809981
318,tautira,-17.73,-149.15,82.4,74,40,8.05,PF,1593809981
319,hurghada,27.26,33.81,89.6,19,0,2.24,EG,1593809982
320,wad madani,14.4,33.52,90.0,38,40,12.24,SD,1593809982
321,navan,53.65,-6.68,62.6,93,75,9.17,IE,1593809794
322,birao,10.28,22.79,74.16,86,98,2.42,CF,1593809982
323,el alto,-4.27,-81.21,68.13,71,10,16.06,PE,1593809982
324,cockburn town,21.46,-71.14,87.8,70,40,9.17,TC,1593809982
325,cidreira,-30.18,-50.21,49.95,68,0,5.93,BR,1593809983
326,mareeba,-17.0,145.43,69.8,77,26,12.75,AU,1593809983
327,calabozo,8.92,-67.43,84.25,81,92,5.44,VE,1593809983
328,rovaniemi,66.5,25.72,48.2,87,75,9.17,FI,1593809983
329,southbridge,42.08,-72.03,68.0,95,100,7.58,US,1593809983
330,puqi,29.72,113.88,75.67,93,100,0.74,CN,1593809984
331,arica,-18.48,-70.3,64.4,68,36,9.17,CL,1593809984
332,aswan,24.09,32.91,88.66,12,0,7.7,EG,1593809984
333,kabansk,52.05,106.65,60.8,77,0,2.33,RU,1593809984
334,canutama,-6.53,-64.38,77.7,91,100,1.54,BR,1593809985
335,synya,65.37,58.04,53.46,90,8,4.92,RU,1593809985
336,acapulco,16.86,-99.89,87.8,58,20,5.82,MX,1593809893
337,beyneu,45.32,55.2,78.42,18,0,2.77,KZ,1593809985
338,vestmannaeyjar,63.44,-20.27,49.28,73,77,26.64,IS,1593809986
339,aksu,41.12,80.26,73.69,28,12,5.28,CN,1593809986
340,russell,32.35,-85.2,88.0,74,90,4.7,US,1593809986
341,waipawa,-41.41,175.52,50.0,81,5,10.29,NZ,1593809986
342,longyearbyen,78.22,15.64,42.8,87,75,8.05,SJ,1593809986
343,ulaangom,49.98,92.07,65.07,48,0,3.15,MN,1593809987
344,iquitos,-3.75,-73.25,84.2,70,40,5.82,PE,1593809899
345,raga,8.46,25.68,71.94,89,5,3.98,SS,1593809987
346,bermejillo,25.88,-103.62,93.2,34,20,6.93,MX,1593809987
347,lata,40.16,-8.33,64.99,67,0,3.0,PT,1593809987
348,lang son,21.83,106.73,75.24,92,99,1.36,VN,1593809976
349,vostok,46.49,135.88,57.97,76,1,4.12,RU,1593809988
350,sungaipenuh,-2.08,101.38,65.37,96,100,3.29,ID,1593809988
351,katsuura,35.13,140.3,72.0,100,75,8.05,JP,1593809988
352,saldanha,-33.01,17.94,51.8,81,0,5.82,ZA,1593809989
353,kamaishi,39.27,141.88,63.86,83,100,6.71,JP,1593809989
354,beringovskiy,63.05,179.32,43.9,89,99,14.14,RU,1593809989
355,alofi,-19.06,-169.92,73.4,78,99,14.99,NU,1593809989
356,coos bay,43.37,-124.22,72.0,63,90,11.41,US,1593809989
357,northam,51.03,-4.22,60.01,97,100,15.99,GB,1593809990
358,rawatsar,29.28,74.38,102.78,26,35,7.65,IN,1593809990
359,ponta do sol,32.67,-17.1,69.8,68,75,19.46,PT,1593809990
360,marienburg,54.04,19.03,60.01,100,20,3.36,PL,1593809990
